FID,FN,FDep,FArr,FDepD,FDepT,FArrT,FArrD,UDepD,UDepT,UArrT,UArrD,FFT,FTZD,Atype
3,2450,HOT,ELD,1,425,465,1,1,725,765,1,40,0,CNC
3,2450,HOT,ELD,2,425,465,2,2,725,765,2,40,0,CNC
3,2450,HOT,ELD,3,425,465,3,3,725,765,3,40,0,CNC
3,2450,HOT,ELD,4,425,465,4,4,725,765,4,40,0,CNC
3,2450,HOT,ELD,5,425,465,5,5,725,765,5,40,0,CNC
8,2450,ELD,IAH,1,485,595,1,1,785,895,1,110,0,CNC
8,2450,ELD,IAH,2,485,595,2,2,785,895,2,110,0,CNC
8,2450,ELD,IAH,3,485,595,3,3,785,895,3,110,0,CNC
8,2450,ELD,IAH,4,485,595,4,4,785,895,4,110,0,CNC
8,2450,ELD,IAH,5,485,595,5,5,785,895,5,110,0,CNC
12,2451,IAH,ELD,1,625,740,1,1,925,1040,1,115,0,CNC
12,2451,IAH,ELD,2,625,740,2,2,925,1040,2,115,0,CNC
12,2451,IAH,ELD,3,625,740,3,3,925,1040,3,115,0,CNC
12,2451,IAH,ELD,4,625,740,4,4,925,1040,4,115,0,CNC
12,2451,IAH,ELD,5,625,740,5,5,925,1040,5,115,0,CNC
17,2451,ELD,HOT,1,755,795,1,1,1055,1095,1,40,0,CNC
17,2451,ELD,HOT,2,755,795,2,2,1055,1095,2,40,0,CNC
17,2451,ELD,HOT,3,755,795,3,3,1055,1095,3,40,0,CNC
17,2451,ELD,HOT,4,755,795,4,4,1055,1095,4,40,0,CNC
17,2451,ELD,HOT,5,755,795,5,5,1055,1095,5,40,0,CNC
21,2452,HOT,ELD,1,850,890,1,1,1150,1190,1,40,0,CNC
21,2452,HOT,ELD,2,850,890,2,2,1150,1190,2,40,0,CNC
21,2452,HOT,ELD,3,850,890,3,3,1150,1190,3,40,0,CNC
21,2452,HOT,ELD,4,850,890,4,4,1150,1190,4,40,0,CNC
21,2452,HOT,ELD,5,850,890,5,5,1150,1190,5,40,0,CNC
26,2452,ELD,IAH,1,905,1015,1,1,1205,1315,1,110,0,CNC
26,2452,ELD,IAH,2,905,1015,2,2,1205,1315,2,110,0,CNC
26,2452,ELD,IAH,3,905,1015,3,3,1205,1315,3,110,0,CNC
26,2452,ELD,IAH,4,905,1015,4,4,1205,1315,4,110,0,CNC
26,2452,ELD,IAH,5,905,1015,5,5,1205,1315,5,110,0,CNC
30,2453,IAH,ELD,1,1050,1160,1,1,1350,20,2,110,0,CNC
30,2453,IAH,ELD,2,1050,1160,2,2,1350,20,3,110,0,CNC
30,2453,IAH,ELD,3,1050,1160,3,3,1350,20,4,110,0,CNC
30,2453,IAH,ELD,4,1050,1160,4,4,1350,20,5,110,0,CNC
30,2453,IAH,ELD,5,1050,1160,5,5,1350,20,6,110,0,CNC
35,2453,ELD,HOT,1,1175,1215,1,2,35,75,2,40,0,CNC
