AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,6,4,54,S,145,23,30,E,5282
AYLA,LAE,,LAE,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,5,12,25,S,145,47,19,E,20
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,5,49,34,S,144,17,46,E,5388
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,6,34,11,S,146,43,34,E,239
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,9,26,36,S,147,13,12,E,146
AYRB,RAB,,RABAUL,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,3,35,1,S,143,40,9,E,19
BGAM,N/A,,ANGMAGSSALIK,GREENLAND,0,0,0,U,0,0,0,U,0
BGAS,N/A,,ANGISSOQ,GREENLAND,0,0,0,U,0,0,0,U,0
BGAT,N/A,,APUTITEQ,GREENLAND,0,0,0,U,0,0,0,U,0
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61,9,40,N,45,25,39,U,112
BGCH,JCH,,CHRISTIANSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70,44,22,N,22,38,45,U,45
BGDB,N/A,,DANEBORG,GREENLAND,0,0,0,U,0,0,0,U,0
BGDH,N/A,,DANMARKSHAVN,GREENLAND,0,0,0,U,0,0,0,U,0
BGDU,N/A,,DUNDAS,GREENLAND,0,0,0,U,0,0,0,U,0
BGEM,JEG,,EGEDESMINDE,GREENLAND,0,0,0,U,0,0,0,U,0
BGFD,N/A,,FREDERIKSDAL,GREENLAND,0,0,0,U,0,0,0,U,0
BGFH,JFR,,FREDERIKSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0
BGGD,JGR,,GRONNEDAL,GREENLAND,0,0,0,U,0,0,0,U,0
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64,11,27,N,51,40,41,U,283
BGGN,JGO,,GODHAVN,GREENLAND,0,0,0,U,0,0,0,U,0
BGHB,JHS,,HOLSTEINSBORG,GREENLAND,0,0,0,U,0,0,0,U,0
BGIS,N/A,,ISORTOQ,GREENLAND,0,0,0,U,0,0,0,U,0
BGIT,N/A,,IVIGTUT,GREENLAND,0,0,0,U,0,0,0,U,0
BGJH,JJU,,JULIANEHAAB,GREENLAND,0,0,0,U,0,0,0,U,0
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69,14,0,N,51,4,0,U,110
BGKD,N/A,,KAP DAN,GREENLAND,0,0,0,U,0,0,0,U,0
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65,35,0,N,37,9,0,U,110
BGKM,N/A,,KUNGMIUT,GREENLAND,0,0,0,U,0,0,0,U,0
BGKT,N/A,,KAP TOBIN,GREENLAND,0,0,0,U,0,0,0,U,0
BGMV,N/A,,MESTERS VIG,GREENLAND,0,0,0,U,0,0,0,U,0
BGNN,JNN,,NANORTALIK,GREENLAND,0,0,0,U,0,0,0,U,0
BGNS,JNS,,NARSSAQ,GREENLAND,0,0,0,U,0,0,0,U,0
BGOS,N/A,,ORSSUIORSSUAQ,GREENLAND,0,0,0,U,0,0,0,U,0
BGPC,N/A,,PRINS CHRISTIAN SUND,GREENLAND,0,0,0,U,0,0,0,U,0
BGRS,N/A,,RAVNS STORO,GREENLAND,0,0,0,U,0,0,0,U,0
BGSC,N/A,,SCORESBYSUND,GREENLAND,0,0,0,U,0,0,0,U,0
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67,1,1,N,50,41,21,U,165
BGSG,N/A,,SERMILIGAO,GREENLAND,0,0,0,U,0,0,0,U,0
BGST,JSU,,SUKKERTOPPEN,GREENLAND,0,0,0,U,0,0,0,U,0
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76,31,52,N,68,42,11,U,251
BGTM,N/A,,TINGMIARMIUT,GREENLAND,0,0,0,U,0,0,0,U,0
BGTN,N/A,,TINITEQILAQ,GREENLAND,0,0,0,U,0,0,0,U,0
BGUM,N/A,,UMANAK,GREENLAND,0,0,0,U,0,0,0,U,0
BGUP,JUV,,UPERNAVIK,GREENLAND,0,0,0,U,0,0,0,U,0
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,65,39,35,N,18,4,21,U,6
BIBL,N/A,,BLONDUOS,ICELAND,0,0,0,U,0,0,0,U,0
BIDV,N/A,,DJUOIVOGUR,ICELAND,0,0,0,U,0,0,0,U,0
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,65,17,0,N,14,24,5,U,76
BIFM,N/A,,FAGURHOLSMYRI,ICELAND,0,0,0,U,0,0,0,U,0
BIGR,GRY,,GRIMSEY,ICELAND,0,0,0,U,0,0,0,U,0
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,64,17,44,N,15,13,38,U,24
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,65,57,8,N,17,25,33,U,45
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,66,3,29,N,23,8,7,U,8
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63,59,6,N,22,36,20,U,171
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,66,18,49,N,16,27,40,U,20
BIKR,SAK,,SAUDARKROKUR,ICELAND,0,0,0,U,0,0,0,U,0
BINF,NOR,,NORDFJORDUR,ICELAND,0,0,0,U,0,0,0,U,0
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65,33,21,N,23,57,54,U,11
BIRG,RFN,,RAUFARHOFN,ICELAND,0,0,0,U,0,0,0,U,0
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,64,7,48,N,21,56,26,U,48
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66,8,0,N,18,55,0,U,10
BISS,N/A,,SANDSKEID,ICELAND,0,0,0,U,0,0,0,U,0
BIST,N/A,,STYKKISHOLMUR,ICELAND,0,0,0,U,0,0,0,U,0
BITE,TEY,,THINGEYRI,ICELAND,0,0,0,U,0,0,0,U,0
BITH,THO,,THORSHOFN,ICELAND,0,0,0,U,0,0,0,U,0
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63,25,27,N,20,16,43,U,326
BIVO,VPN,,VOPNAFJORDUR,ICELAND,0,0,0,U,0,0,0,U,0
BZGD,N/A,,GODLEY,NEW ZEALAND,0,0,0,U,0,0,0,U,0
CUAP,N/A,,ACTIVE PASS,CANADA,0,0,0,U,0,0,0,U,0
CUHA,YQC,,QUAQTAQ,CANADA,0,0,0,U,0,0,0,U,0
CUQC,N/A,,STIRLING,CANADA,0,0,0,U,0,0,0,U,0
CUUP,N/A,,OTTAWA,CANADA,0,0,0,U,0,0,0,U,0
CWBF,N/A,,BATTLE HARBOUR,CANADA,0,0,0,U,0,0,0,U,0
CWHJ,N/A,,HOLBERG,CANADA,0,0,0,U,0,0,0,U,0
CWMK,N/A,,SIMCOE,CANADA,0,0,0,U,0,0,0,U,0
CWMN,N/A,,MOUNT FOREST,CANADA,0,0,0,U,0,0,0,U,0
CWOH,N/A,,SAINTE AGATHE,CANADA,0,0,0,U,0,0,0,U,0
CWPC,N/A,,PINCHER CREEK,CANADA,0,0,0,U,0,0,0,U,0
CWPO,N/A,,PILOT MOUNT,CANADA,0,0,0,U,0,0,0,U,0
CWVA,N/A,,BONAVISTA,CANADA,0,0,0,U,0,0,0,U,0
CYAB,YAB,,ARCTIC BAY,CANADA,0,0,0,U,0,0,0,U,0
CYAJ,N/A,,KOMAKUK,CANADA,0,0,0,U,0,0,0,U,0
CYAL,YAL,,ALERT BAY,CANADA,0,0,0,U,0,0,0,U,0
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46,29,6,N,84,30,34,U,630
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50,3,23,N,97,1,57,U,760
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,44,38,23,N,63,29,58,U,167
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,51,23,30,N,56,5,4,U,92
CYAZ,YAZ,TOFINO,TOFINO,CANADA,49,4,56,N,125,46,21,U,80
CYBA,N/A,,BANFF,CANADA,0,0,0,U,0,0,0,U,0
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,68,32,4,N,89,48,29,U,56
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,49,7,56,N,68,12,26,U,71
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,48,19,50,N,70,59,47,U,522
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,64,17,56,N,96,4,40,U,59
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49,57,3,N,125,16,15,U,346
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,49,54,36,N,99,57,7,U,1343
CYBT,YBT,,BROCHET,CANADA,0,0,0,U,0,0,0,U,0
